,Cash balance,Unrealized value,Total asset,Rewards,CumReward,Position,Unit
2009-03-04,-25.400000000000002,19.6,-5.800000000000001,-1.0,-35.8,-2,-2.0
2009-03-05,-25.400000000000002,19.6,-5.800000000000001,1.0,-34.8,-2,0.0
2009-03-06,-25.400000000000002,21.6,-3.8000000000000007,1.0,-33.8,-2,2.0
2009-03-09,-25.400000000000002,25.6,0.1999999999999993,1.0,-32.8,-2,4.0
2009-03-10,-25.400000000000002,23.6,-1.8000000000000007,-1.0,-33.8,-2,-2.0
2009-03-11,-2.200000000000003,1.6,-0.6000000000000028,0.9999999999999987,-32.8,2,1.199999999999998
2009-03-12,-2.200000000000003,7.6,5.399999999999997,1.0,-31.799999999999997,2,6.0
2009-03-13,-2.200000000000003,11.6,9.399999999999997,1.0,-30.799999999999997,2,4.0
2009-03-16,-2.200000000000003,11.6,9.399999999999997,1.0,-29.799999999999997,2,0.0
2009-03-17,-2.200000000000003,9.6,7.399999999999997,-1.0,-30.799999999999997,2,-2.0
2009-03-18,-2.200000000000003,11.6,9.399999999999997,1.0,-29.799999999999997,2,2.0
2009-03-19,-2.200000000000003,13.6,11.399999999999997,1.0,-28.799999999999997,2,2.0
2009-03-20,-2.200000000000003,9.6,7.399999999999997,-3.0,-31.799999999999997,2,-4.0
2009-03-23,-2.200000000000003,7.6,5.399999999999997,-1.0,-32.8,2,-2.0
2009-03-24,-2.200000000000003,11.6,9.399999999999997,1.0,-31.799999999999997,2,4.0
2009-03-25,-2.200000000000003,13.6,11.399999999999997,1.0,-30.799999999999997,2,2.0
2009-03-26,-2.200000000000003,13.6,11.399999999999997,1.0,-29.799999999999997,2,0.0
2009-03-27,-2.200000000000003,17.6,15.399999999999999,1.0,-28.799999999999997,2,4.000000000000002
2009-03-30,-2.200000000000003,15.6,13.399999999999997,-1.0000000000000018,-29.799999999999997,2,-2.0000000000000018
2009-03-31,-2.200000000000003,13.6,11.399999999999997,-1.0,-30.799999999999997,2,-2.0
2009-04-01,-2.200000000000003,13.6,11.399999999999997,1.0,-29.799999999999997,2,0.0
2009-04-02,-2.200000000000003,19.6,17.4,1.0,-28.799999999999997,2,6.000000000000002
