Date,MMM
2009-12-02,6061.0
2009-12-03,6061.0
2009-12-04,6060.0
2009-12-07,6060.0
2009-12-08,6058.0
2009-12-09,6060.0
2009-12-10,6063.0
2009-12-11,6064.0
2009-12-14,6065.0
2009-12-15,6066.0
2009-12-16,6066.0
2009-12-17,6065.0
2009-12-18,6064.0
2009-12-21,6064.0
2009-12-22,6065.0
2009-12-23,6065.0
2009-12-24,6066.0
2009-12-28,6066.0
2009-12-29,6068.0
2009-12-30,6068.0
2009-12-31,6068.0
2010-01-04,6067.0
2010-01-05,6066.0
2010-01-06,6068.0
2010-01-07,6067.0
2010-01-08,6068.0
2010-01-11,6069.0
2010-01-12,6068.0
2010-01-13,6068.0
2010-01-14,6068.0
2010-01-15,6067.0
2010-01-19,6068.0
2010-01-20,6069.0
2010-01-21,6069.0
2010-01-22,6066.0
2010-01-25,6066.0
2010-01-26,6065.0
2010-01-27,6065.0
2010-01-28,6066.0
2010-01-29,6065.0
2010-02-01,6064.0
2010-02-02,6064.0
2010-02-03,6063.0
2010-02-04,6064.0
2010-02-05,6062.0
2010-02-08,6061.0
2010-02-09,6061.0
2010-02-10,6061.0
2010-02-11,6062.0
2010-02-12,6062.0
2010-02-16,6063.0
2010-02-17,6063.0
2010-02-18,6063.0
2010-02-19,6064.0
2010-02-22,6065.0
2010-02-23,6063.0
2010-02-24,6063.0
2010-02-25,6062.0
2010-02-26,6062.0
2010-03-01,6064.0
2010-03-02,6064.0
2010-03-03,6064.0
2010-03-04,6064.0
2010-03-05,6065.0
2010-03-08,6066.0
2010-03-09,6064.0
2010-03-10,6065.0
2010-03-11,6064.0
2010-03-12,6065.0
2010-03-15,6064.0
2010-03-16,6064.0
2010-03-17,6065.0
2010-03-18,6066.0
2010-03-19,6065.0
2010-03-22,6065.0
2010-03-23,6066.0
2010-03-24,6065.0
2010-03-25,6065.0
2010-03-26,6064.0
2010-03-29,6064.0
2010-03-30,6066.0
2010-03-31,6068.0
2010-04-01,6068.0
2010-04-05,6068.0
2010-04-06,6068.0
2010-04-07,6068.0
2010-04-08,6067.0
2010-04-09,6067.0
2010-04-12,6068.0
2010-04-13,6067.0
2010-04-14,6068.0
2010-04-15,6068.0
2010-04-16,6069.0
2010-04-19,6068.0
2010-04-20,6069.0
2010-04-21,6070.0
2010-04-22,6070.0
2010-04-23,6071.0
2010-04-26,6072.0
2010-04-27,6076.0
2010-04-28,6075.0
2010-04-29,6075.0
2010-04-30,6074.0
2010-05-03,6075.0
2010-05-04,6075.0
2010-05-05,6072.0
2010-05-06,6071.0
2010-05-07,6068.0
2010-05-10,6070.0
2010-05-11,6070.0
2010-05-12,6070.0
2010-05-13,6071.0
2010-05-14,6069.0
2010-05-17,6069.0
2010-05-18,6070.0
2010-05-19,6067.0
2010-05-20,6064.0
2010-05-21,6061.0
2010-05-24,6064.0
2010-05-25,6061.0
2010-05-26,6063.0
2010-05-27,6063.0
2010-05-28,6065.0
2010-06-01,6061.0
2010-06-02,6061.0
2010-06-03,6062.0
2010-06-04,6059.0
2010-06-07,6058.0
2010-06-08,6056.0
2010-06-09,6057.0
2010-06-10,6057.0
2010-06-11,6058.0
2010-06-14,6061.0
2010-06-15,6062.0
2010-06-16,6062.0
2010-06-17,6065.0
2010-06-18,6064.0
2010-06-21,6065.0
2010-06-22,6065.0
2010-06-23,6063.0
2010-06-24,6063.0
2010-06-25,6061.0
2010-06-28,6061.0
2010-06-29,6061.0
2010-06-30,6060.0
2010-07-01,6062.0
2010-07-02,6061.0
2010-07-06,6061.0
2010-07-07,6061.0
2010-07-08,6064.0
2010-07-09,6064.0
2010-07-12,6065.0
2010-07-13,6067.0
2010-07-14,6067.0
2010-07-15,6067.0
2010-07-16,6066.0
2010-07-19,6065.0
2010-07-20,6063.0
2010-07-21,6066.0
2010-07-22,6069.0
2010-07-23,6069.0
2010-07-26,6071.0
2010-07-27,6072.0
2010-07-28,6071.0
2010-07-29,6072.0
2010-07-30,6070.0
2010-08-02,6072.0
2010-08-03,6072.0
2010-08-04,6072.0
2010-08-05,6072.0
2010-08-06,6072.0
2010-08-09,6073.0
2010-08-10,6073.0
2010-08-11,6071.0
2010-08-12,6067.0
2010-08-13,6068.0
2010-08-16,6067.0
2010-08-17,6067.0
2010-08-18,6068.0
2010-08-19,6067.0
2010-08-20,6064.0
2010-08-23,6064.0
2010-08-24,6063.0
2010-08-25,6063.0
2010-08-26,6064.0
2010-08-27,6063.0
2010-08-30,6064.0
2010-08-31,6062.0
2010-09-01,6062.0
2010-09-02,6065.0
2010-09-03,6066.0
2010-09-07,6067.0
2010-09-08,6066.0
2010-09-09,6068.0
2010-09-10,6067.0
2010-09-13,6069.0
2010-09-14,6069.0
2010-09-15,6069.0
2010-09-16,6068.0
2010-09-17,6070.0
2010-09-20,6071.0
2010-09-21,6072.0
2010-09-22,6071.0
2010-09-23,6071.0
2010-09-24,6071.0
2010-09-27,6072.0
2010-09-28,6072.0
2010-09-29,6072.0
2010-09-30,6073.0
2010-10-01,6073.0
2010-10-04,6072.0
2010-10-05,6072.0
2010-10-06,6074.0
2010-10-07,6076.0
2010-10-08,6076.0
2010-10-11,6075.0
2010-10-12,6073.0
2010-10-13,6074.0
2010-10-14,6075.0
2010-10-15,6076.0
2010-10-18,6075.0
2010-10-19,6074.0
2010-10-20,6074.0
2010-10-21,6076.0
2010-10-22,6077.0
2010-10-25,6077.0
2010-10-26,6077.0
2010-10-27,6076.0
2010-10-28,6073.0
2010-10-29,6069.0
2010-11-01,6069.0
2010-11-02,6069.0
2010-11-03,6070.0
2010-11-04,6071.0
2010-11-05,6073.0
2010-11-08,6070.0
2010-11-09,6071.0
2010-11-10,6070.0
2010-11-11,6070.0
2010-11-12,6071.0
2010-11-15,6072.0
2010-11-16,6070.0
2010-11-17,6068.0
2010-11-18,6069.0
2010-11-19,6070.0
2010-11-22,6069.0
2010-11-23,6068.0
2010-11-24,6069.0
2010-11-26,6069.0
2010-11-29,6068.0
2010-11-30,6067.0
2010-12-01,6070.0
2010-12-02,6071.0
2010-12-03,6071.0
2010-12-06,6072.0
2010-12-07,6072.0
2010-12-08,6067.0
2010-12-09,6069.0
2010-12-10,6069.0
2010-12-13,6069.0
2010-12-14,6070.0
2010-12-15,6070.0
2010-12-16,6071.0
2010-12-17,6071.0
2010-12-20,6071.0
2010-12-21,6073.0
2010-12-22,6071.0
2010-12-23,6072.0
2010-12-27,6071.0
2010-12-28,6072.0
2010-12-29,6072.0
2010-12-30,6072.0
2010-12-31,6071.0
2011-01-03,6072.0
2011-01-04,6072.0
2011-01-05,6071.0
2011-01-06,6072.0
2011-01-07,6071.0
2011-01-10,6070.0
2011-01-11,6072.0
2011-01-12,6073.0
2011-01-13,6074.0
2011-01-14,6073.0
2011-01-18,6073.0
2011-01-19,6074.0
2011-01-20,6073.0
2011-01-21,6074.0
2011-01-24,6075.0
2011-01-25,6075.0
2011-01-26,6074.0
2011-01-27,6075.0
2011-01-28,6075.0
2011-01-31,6073.0
2011-02-01,6073.0
2011-02-02,6073.0
2011-02-03,6073.0
2011-02-04,6073.0
2011-02-07,6074.0
2011-02-08,6075.0
2011-02-09,6076.0
2011-02-10,6076.0
2011-02-11,6076.0
